trackId,name,album,artist,releaseDate,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,timeSignature
074GZIq3xxoDd8fH9IGAth,The Man Was Burning,The Man Was Burning,Jake Blount,2022-02-22,155665,42,0.702,0.421,0.519,0.00012,0.168,-7.248,0.181,78.573,4
582t08OyJrrpS35HyWSruM,Bright Star,Anaïs Mitchell,Anaïs Mitchell,2022-01-28,190586,55,0.712,0.618,0.348,0.000206,0.107,-8.808,0.0402,99.144,4
2a5qaGUrVHWAIrh0xmTADM,neve give up,aloha,Son Little,2020-01-31,221476,51,0.573,0.48,0.494,0.0259,0.121,-8.938,0.0735,149.883,4
7wStk0361hcPEtJc4KbOPf,Morning,Blue Heron Suite,Sarah Jarosz,2021-05-07,208746,53,0.573,0.854,0.341,0.0436,0.107,-11.324,0.0327,128.989,4
3uj2eCWwCooyJUG7BMs90l,Better Get It Right the First Time,Freedom Highway,Rhiannon Giddens,2017-02-24,203293,35,0.684,0.646,0.502,1.03e-06,0.0705,-8.403,0.0699,171.804,4
6cvKWfzh1NTJMWXaAIVt63,Love Farewell,Good and Green Again,Jake Xerxes Fussell,2022-01-21,238461,51,0.509,0.877,0.218,0.842,0.115,-15.902,0.0348,87.204,4
0GtgXo2HxsL1Ja0EXxC0s3,When I Was a Girl in Colorado,Spellbound,Judy Collins,2022-02-25,300206,32,0.386,0.83,0.307,0.0126,0.0939,-10.333,0.0299,138.964,4
0fhybVaiwileWneFHOBhhd,Pull the Moon,Quiet Flame,Caitlin Canty,2023-06-23,242153,35,0.674,0.741,0.293,0.000547,0.0956,-9.926,0.0301,119.772,4
3hhbDnFUb2bicI2df6VurK,River,Coming Home (Deluxe),Leon Bridges,2015-06-23,240200,76,0.635,0.665,0.184,0.0,0.146,-10.785,0.0456,128.424,4
47g2cEftywynxNGzZEOepq,Fort Dimanche,Fort Dimanche,Leyla McCalla,2021-12-01,187988,29,0.59,0.885,0.561,7.08e-05,0.0882,-7.629,0.111,115.474,4
2yjJsfgodykCBLRGskqb5m,Udhero Na feat. Anoushka Shankar,Udhero Na,Arooj Aftab,2022-03-18,303361,36,0.349,0.86,0.278,0.0218,0.107,-11.484,0.0263,99.153,3
5QDpRgmLJaWJaV7BUX5D0Y,Sweet Misery,"You, Yeah, You",Tré Burt,2021-08-27,189329,44,0.614,0.625,0.546,2.38e-06,0.0957,-6.858,0.0296,87.353,4
0O6m0MtKrl8KZpavDZX6lQ,Bird of the Blizzard,Spell Songs II: Let the Light In,Spell Songs,2021-12-10,273560,31,0.26,0.921,0.228,9.21e-05,0.0745,-14.704,0.0323,97.919,4
4S0TVBmZlqQWjoaFthRlbE,Better Things,Better Things,Kee'ahn,2020-05-28,222203,41,0.601,0.528,0.321,7.39e-06,0.115,-11.354,0.0441,169.739,3
7m4pa6QJVZ5T4vf33pvLTm,Persephone,Outside Child,Allison Russell,2021-05-21,262680,46,0.585,0.458,0.404,6.42e-06,0.121,-8.188,0.0477,125.267,4
7KX65PC1UZuImsUInThbav,Cold Little Heart - Radio Edit,Cold Little Heart (Radio Edit),Michael Kiwanuka,2017-02-24,210299,77,0.629,0.357,0.58,0.000353,0.436,-6.208,0.0278,110.264,4
058T5UiAWu70uTAYDN67kY,Find Yourself,Lukas Nelson & Promise Of The Real,Lukas Nelson and Promise of the Real,2017-08-25,376333,55,0.733,0.571,0.585,0.00523,0.0892,-5.551,0.0314,133.512,4
